Text,NLL,Sentiment_Score,Potential_Energy,Kinetic_Energy,Lambda,Acceptance_rate,Accepted
", he looked down at her. ""This is terrible, he said. ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",90.06282043457031,23.202517361111113,10.0,"tensor([2.4966e-11], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at herque ""This is terrible, he said. ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",117.89808654785156,23.06044921875,10.073847770690918,"tensor([2.3468e-23], device='cuda:0', grad_fn=<ExpBackward0>)",0
",Sund looked down at her. ""This is terrible, he said. ""I could go back and kill them all.

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",115.60292053222656,17.24419352213542,10.073847770690918,"tensor([8.3585e-20], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her. ""This is terrible,"" he said. ""I could go back and kill them all.""

He held his WATCHED for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",106.16087341308594,28.165489366319445,10.073847770690918,"tensor([1.7563e-20], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her. ""This is Crusade, he said. ""I could go back and kill them all.

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",105.75215148925781,27.382788085937502,10.073847770690918,"tensor([6.4487e-20], device='cuda:0', grad_fn=<ExpBackward0>)",0
", hindsight looked down at her. ""This is terrible, he said. ""I could go back and kill them all.

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",120.33233642578125,24.84853244357639,10.073847770690918,"tensor([3.6373e-25], device='cuda:0', grad_fn=<ExpBackward0>)",0
", hegging down at her. ""This is terrible,"" he said. ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",107.5702133178711,20.327015516493056,10.073847770690918,"tensor([1.0066e-17], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her. WrittenThis is terrible, he said. ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",118.93688201904297,28.215413411458336,10.073847770690918,"tensor([5.1772e-26], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her. ""This is terrible. he said, ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",100.179931640625,25.017930772569446,10.073847770690918,"tensor([1.6430e-16], device='cuda:0', grad_fn=<ExpBackward0>)",0
"[ he looked down at her. ""This is terrible, he said. ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",109.61093139648438,23.803697374131946,10.073847770690918,"tensor([3.8859e-20], device='cuda:0', grad_fn=<ExpBackward0>)",0
"Beast he looked down at her. ""This is terrible,"" he said. ""I could go back and kill them all.""

He held his gaze fora long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",114.92859649658203,20.774327256944446,10.073847770690918,"tensor([4.3936e-21], device='cuda:0', grad_fn=<ExpBackward0>)",0
"jun he looked down at her, ""This is terrible, he said. ""I could go back and kill them all.""

Hesonian his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",145.9086151123047,24.9065673828125,16.895797729492188,"tensor([3.8973e-35], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her. ""This is terrible, he said. ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",92.60908508300781,22.601150173611114,16.895797729492188,"tensor([4.8123e-11], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her.IDThis is terrible, he said, ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",117.1891098022461,24.618370225694445,16.895797729492188,"tensor([1.3206e-22], device='cuda:0', grad_fn=<ExpBackward0>)",0
"ane he looked down at her. ""This is terrible, he said. ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",110.54328155517578,19.360633680555555,16.895797729492188,"tensor([2.0186e-17], device='cuda:0', grad_fn=<ExpBackward0>)",0
"waves he looked down at her, ""This is terrible,"" he said. ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",105.41461944580078,27.58043619791667,16.895797729492188,"tensor([8.7810e-19], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her. ""This is terrible, he said. ""I could go back and kill them all.""

He held his gaze, a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",103.19461822509766,20.983349609375,16.895797729492188,"tensor([6.9100e-15], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her. ""This is terrible, he said. ""I could go back and kill them all.

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",97.7221908569336,32.35653483072917,16.895797729492188,"tensor([1.6421e-17], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her. ""This is terrible, Awakens said. ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",111.16497039794922,22.44785427517361,16.895797729492188,"tensor([5.3277e-19], device='cuda:0', grad_fn=<ExpBackward0>)",0
"rah he looked down at her. ""This is terrible,"" he said. ""I could go back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",95.95689392089844,25.271240234375,16.895797729492188,"tensor([1.1703e-13], device='cuda:0', grad_fn=<ExpBackward0>)",0
",mate looked down at her, ""This is terrible, he said. ""I could go back and kill them all.

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",119.60552978515625,22.612978786892363,16.895797729492188,"tensor([8.7511e-23], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her, ""This is terrible, he said, ""I could go back and kill them all.""

He held his>>>>>>>> for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",121.59915924072266,25.176991102430556,30.59823226928711,"tensor([1.9176e-22], device='cuda:0', grad_fn=<ExpBackward0>)",0
"tar he looked down at her. ""This is terrible, he said. ""I could perish back and kill them all.""

He held his gaze for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",134.3708953857422,22.15496554904514,30.59823226928711,"tensor([1.0749e-26], device='cuda:0', grad_fn=<ExpBackward0>)",0
", he looked down at her. ""This is terrible, he said. ""I could go back and kill them all.""

He held his propagate for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",121.00919342041016,25.18158637152778,30.59823226928711,"tensor([3.1148e-22], device='cuda:0', grad_fn=<ExpBackward0>)",0
", sleeping looked down at her. ""This is terrible, he said. ""I could go back and kill them all.

He held his cultivated for a long moment,","tensor([75.4158], device='cuda:0')","tensor([0.3821], device='cuda:0')",144.12306213378906,21.78688422309028,30.59823226928711,"tensor([9.2041e-31], device='cuda:0', grad_fn=<ExpBackward0>)",0
