Text,NLL,Sentiment_Score,Potential_Energy,Kinetic_Energy,Lambda,Acceptance_rate,Accepted
" an all-around good read, but not quite the book I imagined it would be. I'm also not sure about the character's emotional state: it really is just a",0,0,93.79597473144531,24.12653537326389,10.0,"tensor([5.2546e-07], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the book I imagined it would be. I'm also not sure about the character's emotional state: it really is just a",0,0,93.83948516845703,21.115486653645835,10.093886375427246,"tensor([1.0335e-05], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the book I imagined it would be. I'm also notbol about the character's emotional state: it really is just a",0,0,120.55299377441406,18.776082356770836,10.093886375427246,"tensor([2.4392e-16], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, butIP quite thelex I imagined it would be. I'm also not sure about the character's emotional state Hur it really is just a",0,0,164.28782653808594,14.836097547743057,10.093886375427246,"tensor([1.3942e-33], device='cuda:0', grad_fn=<ExpBackward0>)",0
" ESH all-around good read, but not quite the book I imagined it would be. I'm also not sure about the character disapp emotional state: it really is just a",0,0,150.72073364257812,25.75971137152778,10.093886375427246,"tensor([1.6937e-32], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the book I imagined it would be. I'm also not sure about the character's emotional state: it really is just a",0,0,93.83946990966797,20.910294596354166,10.093886375427246,"tensor([1.2668e-05], device='cuda:0', grad_fn=<ExpBackward0>)",0
"soDeliveryDatean all-around good read, but not quite the book I imagined it would be. I'm also not sure about the character's emotional state: it really is just a",0,0,147.16644287109375,24.531949869791667,10.093886375427246,"tensor([2.1795e-30], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the book I imagined it would be. I'm also not sure about the character'sEls state: the really is just a",0,0,133.02540588378906,22.45948486328125,10.093886375427246,"tensor([2.8156e-23], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite thesat I imagined it would be. I'm also not sure about the character's emotional state: it really is just a",0,0,118.12664794921875,19.457337782118056,10.093886375427246,"tensor([1.5009e-15], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the book I bailed it would be. I'm also not sure about the character's emotional state: it really is just a",0,0,116.2058334350586,17.875634765625,10.093886375427246,"tensor([4.4119e-14], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the book I imagined it would be. I'm also not sure about the character's emotional state: it really is just a",0,0,93.8394546508789,30.270366753472224,10.093886375427246,"tensor([9.2246e-10], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the book I imagined it would be. I'm also not sure about the character's emotional Struggle: it really is just a",0,0,116.91114044189453,19.214031304253474,19.0704345703125,"tensor([3.9880e-13], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the book I imagined it would be. I'm also not sure about the character's emotional state:ocial really is just a",0,0,120.40919494628906,22.953933376736114,19.0704345703125,"tensor([2.7243e-16], device='cuda:0', grad_fn=<ExpBackward0>)",0
" HT all-around good read, but not quite a book I imagined it would be. I'm also not sure about Twist character's emotional state: it really is just a",0,0,146.46343994140625,17.301209852430556,19.0704345703125,"tensor([4.0298e-25], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the Read I imagined it would be. I'm also not sure about the character's emotional state: it really is just a",0,0,112.42619323730469,19.509046766493057,19.0704345703125,"tensor([2.9861e-11], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the book I imagined it would be. I'm also not sure about the character's emotional state: it really is just a",0,0,97.99559783935547,19.654673936631944,19.0704345703125,"tensor([5.5596e-05], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an allaya Canaver good read, but not quite theLESS I imagined it would be. I'm also not sure about the character's emotional stateogo it really is just a",0,0,192.33560180664062,24.699262152777777,19.0704345703125,"tensor([0.], device='cuda:0', grad_fn=<ExpBackward0>)",0
" an all-around good read, but not quite the book I imagined it would bexx I'm also not sure about the characteromes emotionalexternalActionCode: it really is just a",0,0,156.6809844970703,24.118901909722222,19.0704345703125,"tensor([1.9014e-32], device='cuda:0', grad_fn=<ExpBackward0>)",0
