Text,Sentiment Score,Perplexity
"lime he gazed embr, adversity, ""This is Darkness, he said, ""I could go back and kill them all.""

He held his Qiao for alies龍喚士,",0.7416582107543945,364.03887939453125
", he gazed challeng- Heavenly, ""This is Darkness, he said, ""I could go back and kill them all.""

He opened his Beaut for the pond moment,",0.2617165148258209,244.58367919921875
", he gazed challeng- Heavenly, ""This is Spirit, he said, ""I could go back and kill them all.""

He opened his cultiv for a cultiv moment,",0.6024575233459473,194.19183349609375
", he visited challeng- Heavenly, ""This is Spirit, he said, ""I could go back and kill them all.""

He opened his Beaut for aSpirit moment,",0.9169256687164307,200.1597137451172
", he visited challeng- Heavenly, ""This is Spirit, he said, ""I could go back and kill them all.""

He opened his Beaut for a mystic moment,",0.9327757358551025,159.9022216796875
", he lifted Lau- Heavenly, ""This is Spirit, he said, ""I could go back and kill them all.""

He opened his Beaut with a mystic moment,",0.9937000274658203,161.93228149414062
", he lifted Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Beaut for a mystic moment,",0.974228024482727,171.80520629882812
", he lifted Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Tao for a mystic moment,",0.9669154286384583,122.31592559814453
", he lifted Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Xi for a mystic moment,",0.9609565734863281,135.10369873046875
", he blessed Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Xi for a mystic moment,",0.9506065845489502,148.70309448242188
", he lifted Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Xi for a mystic moment,",0.9609565734863281,135.10369873046875
", he lifted Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Xi for a mystic moment,",0.9609565734863281,135.10369873046875
", he lifted Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Xi for a mystic moment,",0.9609565734863281,135.10369873046875
", he lifted Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Xi for a mystic moment,",0.9609565734863281,135.10369873046875
", he lifted Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Tao for a mystical moment,",0.9817662835121155,124.59577178955078
", he lifted Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Tao for a mystical moment,",0.9817662835121155,124.59577178955078
", he lifted Lau- Heavenly, ""This is Spirit- he said, ""I could go back and kill them all.""

He opened his Tao for a mystical moment,",0.9817662835121155,124.59577178955078
